name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
Cervantes,19,12,6,11,2021,166,409,0.59
El Palo,19,12,6,11,2021,43,127,0.66
Av. de Andalucía,19,12,6,11,2021,244,613,0.6
Camas,19,12,6,11,2021,214,350,0.39
Cruz De Humilladero,19,12,6,11,2021,59,217,0.73
Alcazaba,19,12,6,11,2021,186,378,0.51
San Juan De La Cruz,19,12,6,11,2021,208,487,0.57
Pz. de la Marina,19,12,6,11,2021,0,430,1
Tejón y Rodriguez,19,12,6,11,2021,20,187,0.89
Salitre,18,12,6,11,2021,181,435,0.58
Cervantes,18,12,6,11,2021,184,409,0.55
El Palo,18,12,6,11,2021,35,127,0.72
Av. de Andalucía,18,12,6,11,2021,288,613,0.53
Camas,18,12,6,11,2021,214,350,0.39
Cruz De Humilladero,18,12,6,11,2021,58,217,0.73
Alcazaba,18,12,6,11,2021,186,378,0.51
San Juan De La Cruz,18,12,6,11,2021,198,487,0.59
Pz. de la Marina,18,12,6,11,2021,0,430,1
Tejón y Rodriguez,18,12,6,11,2021,39,187,0.79
Salitre,17,12,6,11,2021,184,435,0.58
Cervantes,17,12,6,11,2021,198,409,0.52
El Palo,17,12,6,11,2021,37,127,0.71
Av. de Andalucía,17,12,6,11,2021,327,613,0.47
Camas,17,12,6,11,2021,214,350,0.39
Cruz De Humilladero,17,12,6,11,2021,78,217,0.64
Alcazaba,17,12,6,11,2021,186,378,0.51
San Juan De La Cruz,17,12,6,11,2021,203,487,0.58
Pz. de la Marina,17,12,6,11,2021,0,430,1
Tejón y Rodriguez,17,12,6,11,2021,72,187,0.61
Salitre,16,12,6,11,2021,159,435,0.63
Cervantes,16,12,6,11,2021,178,409,0.56
El Palo,16,12,6,11,2021,31,127,0.76
Av. de Andalucía,16,12,6,11,2021,344,613,0.44
Camas,16,12,6,11,2021,214,350,0.39
Cruz De Humilladero,16,12,6,11,2021,78,217,0.64
Alcazaba,16,12,6,11,2021,186,378,0.51
San Juan De La Cruz,16,12,6,11,2021,207,487,0.57
Pz. de la Marina,16,12,6,11,2021,0,430,1
Tejón y Rodriguez,16,12,6,11,2021,77,187,0.59
Salitre,15,12,6,11,2021,159,435,0.63
Cervantes,15,12,6,11,2021,166,409,0.59
El Palo,15,12,6,11,2021,37,127,0.71
Av. de Andalucía,15,12,6,11,2021,310,613,0.49
Camas,15,12,6,11,2021,214,350,0.39
Cruz De Humilladero,15,12,6,11,2021,77,217,0.65
Alcazaba,15,12,6,11,2021,186,378,0.51
San Juan De La Cruz,15,12,6,11,2021,210,487,0.57
Pz. de la Marina,15,12,6,11,2021,0,430,1
